aquisition_date,url,ad_name,ad_description,ad_id,space,house_rules,amenities,safety_features,number_of_bathrooms,number_of_bedrooms,number_of_beds,latitude,longitude,star_rating,additional_house_rules,owner,check_in,check_out,number_of_guests,is_superhost,number_of_reviews,cohosts,cleaning_fee,can_instant_book,owner_id,listing_type,index,localized_star_rating,response_time_shown,response_rate_shown,guest_satisfaction_overall,picture_count,min_nights,ano,mes,dia,house_rules_new,amenities_new,safety_features_new,localized_star_rating_cat,garagem,aquisition_date_max,check
2022-12-05,https://www.airbnb.com.br/rooms/46724379,"R294, Gar.p SUV, wi-fi, 3 ar,  2quartos, churrasq.","Localização privlegiada, 230 mts do mar , ótimos supermercados, restaurantes, pizzarias e farmácias bem perto. Acesso fácil para outras praias, marginal e BR 101.
Apartamento totalmente climatizado com todos os utensílios para cozinhar e servir 07 pessoas.",46724379,"Apto de 2 quartos e 1 banheiro, tem acomodação para 7 pessoas, churrasqueira na sacada, ar condicionado em todos os ambientes.","Animais de estimação são permitidos,Não são permitidas festas ou eventos,Não é adequado para bebês (menores de 2 anos),Proibido fumar","Ar-condicionado,Assadeira,Básico,Cabides,Cafeteira,Cafeteira com coador,Chaleira de água quente,Churrasqueira,Cozinha,Elevador,Estacionamento gratuito na rua,Estacionamento incluído,Estadias de longa duração são permitidas,Extintor de incêndio,Ferro de passar,Fogão,Forno,Freezer,Itens básicos de cozinha,Lavanderia nas proximidades,Local para guardar as roupas,Louças e talheres,Mesa de jantar,Microondas,Máquina de Lavar,Produtos de limpeza,Pátio ou varanda,Rede/grade de proteção nas janelas,Refrigerador,Roupa de cama,Sabonete para o corpo,TV,Taças de vinho,Utensílios para churrasco,Varal para secar roupas,Ventiladores portáteis,Wi-Fi,Água quente",Extintor de incêndio,1,2,1,-27.13821,-48.59764,5.0,"é conduta comum aos hóspedes que lavem louças e utensílios de churrasco, descartem todo seu lixo, informem se houve danos a algum esquipamento durante sua estada ainda que seja acidentalmente. não passar pela recepção pingando água ou areia.",Carlos,Flexível,10:00,8,1,33,Fatima,99.0,False,377630426,Espaço inteiro: apartamento,1.0,4.85,no_description,111%,111,200,0,2022,12,5,"Animais de estimação são permitidos,Não são permitidas festas ou eventos,Não é adequado para bebês (menores de 2 anos),Proibido fumar","Ar-condicionado,Assadeira,Básico,Cabides,Cafeteira,Cafeteira com coador,Chaleira de água quente,Churrasqueira,Cozinha,Elevador,Estacionamento gratuito na rua,Estacionamento incluído,Estadias de longa duração são permitidas,Extintor de incêndio,Ferro de passar,Fogão,Forno,Freezer,Itens básicos de cozinha,Lavanderia nas proximidades,Local para guardar as roupas,Louças e talheres,Mesa de jantar,Microondas,Máquina de Lavar,Produtos de limpeza,Pátio ou varanda,Rede/grade de proteção nas janelas,Refrigerador,Roupa de cama,Sabonete para o corpo,TV,Taças de vinho,Utensílios para churrasco,Varal para secar roupas,Ventiladores portáteis,Wi-Fi,Água quente",Extintor de incêndio,very_high,sim,2022-12-05,True
2022-12-05,https://www.airbnb.com.br/rooms/42239404,Lindo Apto no centro de Meia Praia a pouco mts mar,"Lindo Apto frente Rua 250, coração de Meia Praia. A poucos metros da praia, Shopping Russi Russi, Calçadão, mercados, farmácias. Apto com 3 quartos (2 + 1 Suíte), todos quartos com ar-condicionado, salas de estar e jantar, cozinha, banheiro, sacada com churrasqueira. WiFi. 01 vaga de garagem coberta e privativa. Elevador. Cadeiras de praia. Guarda sol, carinho de praia.",42239404,No coração de Meia Praia.,"Animais de estimação são permitidos,É permitido fumar","Ar-condicionado,Cozinha,Estacionamento incluído,Máquina de Lavar,TV,Wi-Fi",no_description,2,3,2,-27.12771,-48.60193,0.0,no_description,Maiko,Depois das 13:00,10:00,7,0,0,no_cohost,250.0,False,335322010,Espaço inteiro: apartamento,1.0,0.0,no_description,111%,111,200,0,2022,12,5,"Animais de estimação são permitidos,É permitido fumar","Ar-condicionado,Cozinha,Estacionamento incluído,Máquina de Lavar,TV,Wi-Fi",,no_rating,sim,2022-12-05,True
2022-12-05,https://www.airbnb.com.br/rooms/31052131,Aluguel de verão,no_description,31052131,no_description,Animais de estimação são permitidos,"Ar-condicionado,Básico,Cozinha,Estacionamento incluído,Ferro de passar,Máquina de Lavar,TV,Wi-Fi,Água quente",no_description,2,3,2,-27.12912,-48.607,0.0,no_description,Helton,Flexível,00:00,10,0,0,no_cohost,0.0,False,231949701,Espaço inteiro: casa,1.0,0.0,no_description,111%,111,200,0,2022,12,5,Animais de estimação são permitidos,"Ar-condicionado,Básico,Cozinha,Estacionamento incluído,Ferro de passar,Máquina de Lavar,TV,Wi-Fi,Água quente",,no_rating,sim,2022-12-05,True
2022-12-05,https://www.airbnb.com.br/rooms/21924711,Apartamento para 4 pessoas com piscina,"Apto Tipo estudio

Privativo:
Estúdio com duas camas de casal
Cozinha compacta e completa com geladeira e fogão
Banheiro individual com ducha e box de vidro
Ar condicionado 
Televisão Com Parabólica
Mesa 4 cadeiras
1 vaga de Estacionamento Para Automóvel de passeio 

Uso Comum:
Áreas de Circulação
Ampla Varanda
Piscina com Deck
Piscina Infantil
Internet WIFI

Localizado a 1.400 metros do mar. Tem todos os recursos e conforto de um ambiente integrado. Vaga descoberta para automóvel de passeio.",21924711,"O residencial Casa Olinda possui apartamentos tipo estúdio, com ambientes integrados. Disponível para aluguel de temporada no Pereque, direto com o proprietário, tendo assim um melhor custo benefício. Tendo sua construção composta por containers, sendo assim um empreendimento novo, com aprtamentos para 4 pessoas. Contém quartos com 2 camas de casal, banheiro privativo e cozinha para preparo de refeições.

NÃO TEMOS RECEPÇAO","Animais de estimação são permitidos,Não são permitidas festas ou eventos,É permitido fumar","Ar-condicionado,Básico,Cabides,Chaleira de água quente,Cozinha,Estacionamento gratuito na rua,Estacionamento incluído,Ferro de passar,Fogão,Forno,Louças e talheres,Mesa de jantar,Microondas,Máquina de Lavar,Piscina,Quintal,Refrigerador,Secador de cabelo,TV,Teclado numérico,Varal para secar roupas,Wi-Fi",no_description,1,1,1,-27.156,-48.589,4.0,no_description,Bruno,Depois das 14:00,10:00,6,0,13,no_cohost,50.0,False,20614599,Espaço inteiro: condomínio,1.0,4.08,no_description,111%,111,200,0,2022,12,5,"Animais de estimação são permitidos,Não são permitidas festas ou eventos,É permitido fumar","Ar-condicionado,Básico,Cabides,Chaleira de água quente,Cozinha,Estacionamento gratuito na rua,Estacionamento incluído,Ferro de passar,Fogão,Forno,Louças e talheres,Mesa de jantar,Microondas,Máquina de Lavar,Piscina,Quintal,Refrigerador,Secador de cabelo,TV,Teclado numérico,Varal para secar roupas,Wi-Fi",,high,sim,2022-12-05,True
2022-12-05,https://www.airbnb.com.br/rooms/763760555124711556,Casa no coração da meia praia,"Casa boa, com ótima localização na Meia Praia!

03 Quartos;
01 Vagas p/o carro;
1 Banheiro social;
Sala;
Cozinha , Lavanderia;
Área com Churrasqueira;

Casa boa , com vaga para 1 carro, extremamente bem localizada, estando a 400mts da praia, a 50 metros de supermercado, farmácia e padaria... Está localizada ao lado de todos  os principais comércios da cidade. Aqui você estará na melhor região da Meia Praia para curtir suas férias!
Capacidade para até 10 pessoas.",763760555124711556,no_description,,"Ar-condicionado,Churrasqueira,Cozinha,Estacionamento pago no local,Máquina de Lavar,TV,Wi-Fi",no_description,1,1,1,-27.12477,-48.60788,0.0,"do dia 26 de dezembro/22 a 01 janeiro/23 as reservas são em  pacotes , fico a disposição p negociação! grata",Karlini,no_description,Flexível,10,0,0,no_cohost,0.0,False,201183053,Espaço inteiro: casa,1.0,0.0,no_description,111%,111,200,0,2022,12,5,,"Ar-condicionado,Churrasqueira,Cozinha,Estacionamento pago no local,Máquina de Lavar,TV,Wi-Fi",,no_rating,nao,2022-12-05,True
2022-12-05,https://www.airbnb.com.br/rooms/40843465,Apartamento 3 quartos próximo ao mar,"Excelente apartamento com 3 quartos sendo:
01 suítes 
02 quartos com ar condicionado e 1 com ventilador de teto;
1 banheiro social;
Cozinha;
Ampla sacada com churrasqueira;
Sala de estar com televisão;
Capacidade para até 08 pessoas;
Localizado a 150 metros da praia, super bem localizado perto de tudo. 47.999157099

Valores Temporada 2019/2020:
Virada do ano R$ 1.000,00
Janeiro/ Fevereiro R$ 700,00
Carnaval R$ 1.000,00 
Taxa de Limpeza R$250,00

VIRADA DO ANO MÍNIMO 7 DIÁRIAS",40843465,Todo apartamento,É permitido fumar,"Ar-condicionado,Cozinha,Detector de fumaça,Elevador,Estacionamento incluído,Extintor de incêndio,Máquina de Lavar,Secadora,TV,Wi-Fi,Água quente","Detector de fumaça,Extintor de incêndio",2,3,2,-27.12329,-48.60569,0.0,no_description,Pâmela,no_description,Flexível,8,0,0,no_cohost,350.0,False,119032889,Espaço inteiro: apartamento,1.0,0.0,no_description,111%,111,200,0,2022,12,5,É permitido fumar,"Ar-condicionado,Cozinha,Detector de fumaça,Elevador,Estacionamento incluído,Extintor de incêndio,Máquina de Lavar,Secadora,TV,Wi-Fi,Água quente","Detector de fumaça,Extintor de incêndio",no_rating,sim,2022-12-05,True
2022-12-05,https://www.airbnb.com.br/rooms/41642387,suspenso,"Suíte ideal para 2 pessoas 
Studio com 1 cama de casal
Banheiro privativo
Frigobar, microondas
Bancada para refeições com duas banquetas
TV,  ar condicionado 
Piscina coletiva no condomínio
1.400 metros do mar 
Travesseiros
Roupa de cama e banho


Uso privativo (Suíte)
Dormitórios
Banheiros
Cozinha compacta (Frigobar, micro-ondas com bancada e pia)


Não temo Recepção


Uso coletivo
Áreas comum
Piscina
Um vaga de automóvel e área coletiva",41642387,"O residencial Olinda possui apartamentos tipo suite. Disponível para aluguel de temporada no Pereque, direto com o proprietário, tendo assim um melhor custo benefício. Tendo sua construção composta por uma suíte + banheiro, sendo assim um empreendimento novo, com apartamentos para 2 pessoas. Contém quarto com 1 cama de casal, banheiro privativo e cozinha compacta contendo apenas bancada com micro-ondas e frigobar.","Animais de estimação são permitidos,Não são permitidas festas ou eventos","Ar-condicionado,Básico,Estacionamento gratuito na rua,Estacionamento incluído,Ferro de passar,Frigobar,Louças e talheres,Microondas,Piscina,Quintal,Roupa de cama,Secador de cabelo,TV,Teclado numérico,Wi-Fi",no_description,1,1,1,-27.15651,-48.58945,4.0,no_description,Bruno,14:00 - 23:00,10:00,2,0,13,no_cohost,40.0,False,20614599,Espaço inteiro: apartamento,1.0,4.15,no_description,111%,111,200,0,2022,12,5,"Animais de estimação são permitidos,Não são permitidas festas ou eventos","Ar-condicionado,Básico,Estacionamento gratuito na rua,Estacionamento incluído,Ferro de passar,Frigobar,Louças e talheres,Microondas,Piscina,Quintal,Roupa de cama,Secador de cabelo,TV,Teclado numérico,Wi-Fi",,high,sim,2022-12-05,True
2022-12-05,https://www.airbnb.com.br/rooms/27891417,"(603) Apto 02 dorm, 3 Ar,  vista mar, 50m da praia","Apenas 50m da praia, acabamento em gesso, móveis da cozinha e guarda roupas embutidos. Garagem interna fechada para 1 veiculo com portão eletrônico. 01 suíte com cama de casal; quarto 2:  02 camas de solteiro ou casal.  03 Ar condicionado SPLIT (quartos e sala).  02 banheiros (1 suíte e outro social). Sala com dois ambiente, TV LED 32´ SMART. Cozinha equipada com utensílios, geladeira Duplex, microondas, forno elétrico, fogão de mesa. Lavanderia com maquina de lavar roupas.",27891417,Ambientes amplos e arejados. Cozinha bem equipada e vista para o mar. É disponibilizado cadeiras e guarda-sol gratuitamente.,"Animais de estimação são permitidos,Não são permitidas festas ou eventos,É permitido fumar","Ar-condicionado,Básico,Cozinha,Elevador,Estacionamento incluído,Extintor de incêndio,Ferro de passar,Louças e talheres,Máquina de Lavar,O anfitrião recebe você,Refrigerador,TV,Wi-Fi",Extintor de incêndio,2,2,2,-27.12368,-48.60495,0.0,- Silencio das 18:00 as 08:00hs,Filipe,15:00 - 19:00,10:00,6,1,1,no_cohost,200.0,False,141153766,Espaço inteiro: apartamento,1.0,0.0,no_description,111%,111,200,0,2022,12,5,"Animais de estimação são permitidos,Não são permitidas festas ou eventos,É permitido fumar","Ar-condicionado,Básico,Cozinha,Elevador,Estacionamento incluído,Extintor de incêndio,Ferro de passar,Louças e talheres,Máquina de Lavar,O anfitrião recebe você,Refrigerador,TV,Wi-Fi",Extintor de incêndio,no_rating,sim,2022-12-05,True
2022-12-05,https://www.airbnb.com.br/rooms/51172833,"apto quarto para 2 pessoas, mais áreas compartilha","situado próximo de tudo, a 200 metros da praia, quarto privativo, e demais dependências compartilhadas em boa companhia, com sacada e churrasqueira ampla e confortavel.",51172833,"quarto com beliche,comoda, prateleiras, roupas de cama e banho completas, em apto compartilhado.",Animais de estimação são permitidos,"Ar-condicionado,Assadeira,Banheira,Blackout nas cortinas,Básico,Chaleira de água quente,Churrasqueira,Cobertores e travesseiros extras,Cofre,Cozinha,Elevador,Entrada privada,Espaço de trabalho exclusivo,Estacionamento gratuito na rua,Estacionamento incluído,Extintor de incêndio,Ferro de passar,Fogão,Forno,Freezer,Frigobar,Local para guardar as roupas,Louças e talheres,Mesa de jantar,Microondas,Máquina de Lavar,Móveis externos,Protetores de cantos de mesa,Pátio ou varanda,Refrigerador,Roupa de cama,Secador de cabelo,Secadora,TV,Taças de vinho,Tranca na porta do quarto,Utensílios para churrasco,Varal para secar roupas,Ventiladores portáteis,Wi-Fi,Área de jantar externa,É permitido deixar as malas","Extintor de incêndio,Tranca na porta do quarto",1,1,1,-27.13964,-48.595,5.0,no_description,Tânia Regina,Depois das 14:00,10:00,2,1,36,no_cohost,0.0,False,142707286,Quarto inteiro em apartamento,1.0,4.83,no_description,111%,111,200,0,2022,12,5,Animais de estimação são permitidos,"Ar-condicionado,Assadeira,Banheira,Blackout nas cortinas,Básico,Chaleira de água quente,Churrasqueira,Cobertores e travesseiros extras,Cofre,Cozinha,Elevador,Entrada privada,Espaço de trabalho exclusivo,Estacionamento gratuito na rua,Estacionamento incluído,Extintor de incêndio,Ferro de passar,Fogão,Forno,Freezer,Frigobar,Local para guardar as roupas,Louças e talheres,Mesa de jantar,Microondas,Máquina de Lavar,Móveis externos,Protetores de cantos de mesa,Pátio ou varanda,Refrigerador,Roupa de cama,Secador de cabelo,Secadora,TV,Taças de vinho,Tranca na porta do quarto,Utensílios para churrasco,Varal para secar roupas,Ventiladores portáteis,Wi-Fi,Área de jantar externa,É permitido deixar as malas","Extintor de incêndio,Tranca na porta do quarto",very_high,sim,2022-12-05,True
2022-12-05,https://www.airbnb.com.br/rooms/747083479146515697,Casa de Verão a 800 metros do mar.,"Casa para aluguel de verão em Porto belo.
800 metros da Praia de Balneário Pereque. 
Não há Wi-Fi disponível na casa.
Sem ar condicionado.
Próximo as cidades de Itapema, Balneário Camboriú, Bombinhas.",747083479146515697,no_description,,"Churrasqueira,Cozinha,Estacionamento incluído,Máquina de Lavar,Pátio ou varanda,TV",no_description,2,4,2,-27.159,-48.575,0.0,no_description,Adrieli,no_description,Flexível,10,0,0,no_cohost,0.0,False,485337224,Espaço inteiro: casa,1.0,0.0,no_description,111%,111,200,0,2022,12,5,,"Churrasqueira,Cozinha,Estacionamento incluído,Máquina de Lavar,Pátio ou varanda,TV",,no_rating,sim,2022-12-05,True
2022-12-05,https://www.airbnb.com.br/rooms/30493854,Apto Recém-reformado 3 Quartos em Meia Praia,"Confortável apartamento em Meia Praia, Itapema. Recém reformado e completamente equipado a 150 metros da praia. Localizado no coração da Meia Praia perto de tudo o que você precisa: supermercados, padarias, farmácia, bares e shoppings. O apartamento possui cozinha completa com geladeira, bebedouro, fogão, cafeteira, chaleira elétrica, entre outros. Lavanderia com máquina lava e seca, sacada ampla com mobiliário e churrasqueira a carvão com grelha e espetos. 3 quartos com ar condicionado. Wifi.",30493854,"Durante o ano é nosso apartamento de fim-de-semana, por isso cuidamos dele com todo o carinho. No verão alugamos para quem quiser vir descansar e passar férias nesse paraíso chamado Meia Praia.","Não permite animais de estimação,Não são permitidas festas ou eventos,É permitido fumar","Ar-condicionado,Assadeira,Blackout nas cortinas,Básico,Cabides,Cafeteira,Chaleira de água quente,Churrasqueira,Chuveiro externo,Cobertores e travesseiros extras,Conexão à Ethernet,Cozinha,Elevador,Estacionamento incluído,Fogão,Forno,Freezer,Itens básicos de cozinha,Itens básicos de praia,Lavanderia nas proximidades,Local para guardar as roupas,Louças e talheres,Mesa de jantar,Microondas,Máquina de Lavar,Móveis externos,Produtos de limpeza,Pátio ou varanda,Refrigerador,Roupa de cama,Secadora,TV,Taças de vinho,Utensílios para churrasco,Varal para secar roupas,Ventilador de teto,Wi-Fi",no_description,2,3,2,-27.134,-48.599,5.0,no_description,Gustavo,Flexível,Flexível,6,0,7,no_cohost,160.0,False,27896667,Espaço inteiro: apartamento,1.0,4.86,no_description,111%,111,200,0,2022,12,5,"Não permite animais de estimação,Não são permitidas festas ou eventos,É permitido fumar","Ar-condicionado,Assadeira,Blackout nas cortinas,Básico,Cabides,Cafeteira,Chaleira de água quente,Churrasqueira,Chuveiro externo,Cobertores e travesseiros extras,Conexão à Ethernet,Cozinha,Elevador,Estacionamento incluído,Fogão,Forno,Freezer,Itens básicos de cozinha,Itens básicos de praia,Lavanderia nas proximidades,Local para guardar as roupas,Louças e talheres,Mesa de jantar,Microondas,Máquina de Lavar,Móveis externos,Produtos de limpeza,Pátio ou varanda,Refrigerador,Roupa de cama,Secadora,TV,Taças de vinho,Utensílios para churrasco,Varal para secar roupas,Ventilador de teto,Wi-Fi",,very_high,sim,2022-12-05,True
2022-12-05,https://www.airbnb.com.br/rooms/32155445,Apartamento Residencial Meia Praia,Apartamento familiar; Completo; 02 ar condicionado; ventilador; cozinha com todos utensílios; Roupa de cama.,32155445,no_description,"Animais de estimação são permitidos,Não são permitidas festas ou eventos,É permitido fumar","Ar-condicionado,Básico,Cafeteira,Cozinha,Elevador,Estacionamento incluído,Extintor de incêndio,Ferro de passar,Forno,Itens básicos de cozinha,Louças e talheres,Microondas,Máquina de Lavar,Pátio ou varanda,Refrigerador,TV,Wi-Fi",Extintor de incêndio,2,2,2,-27.13735,-48.59716,0.0,no_description,Douglas,Flexível,Flexível,5,0,2,no_cohost,0.0,False,241217291,Espaço inteiro: apartamento,1.0,0.0,no_description,111%,111,200,0,2022,12,5,"Animais de estimação são permitidos,Não são permitidas festas ou eventos,É permitido fumar","Ar-condicionado,Básico,Cafeteira,Cozinha,Elevador,Estacionamento incluído,Extintor de incêndio,Ferro de passar,Forno,Itens básicos de cozinha,Louças e talheres,Microondas,Máquina de Lavar,Pátio ou varanda,Refrigerador,TV,Wi-Fi",Extintor de incêndio,no_rating,sim,2022-12-05,True
2022-12-05,https://www.airbnb.com.br/rooms/24512533,Grande casa com Piscina em Balneário Camboriu,"Linda casa no Estaleirinho com PISCINA!!! 
4 dormitórios sendo 1 suíte com sacada, sala de estar e jantar, cozinha e área de serviço. 
Garagem para 4 carros.
2 Ar condicionados SPLIT, garagem para 4 carros, Área para churrasco e PISCINA privativa.
Próximo ao Sky, Rest. Estaleirinho, Parador.",24512533,no_description,"Animais de estimação são permitidos,Não são permitidas festas ou eventos,É permitido fumar","Ar-condicionado,Cozinha,Entrada privada,Estacionamento incluído,Piscina,TV,Wi-Fi",no_description,3,4,3,-27.05276,-48.59492,0.0,no_description,Rodrigo,Depois das 14:00,12:00,12,0,0,no_cohost,300.0,False,49098290,Espaço inteiro: casa,1.0,0.0,no_description,111%,111,200,0,2022,12,5,"Animais de estimação são permitidos,Não são permitidas festas ou eventos,É permitido fumar","Ar-condicionado,Cozinha,Entrada privada,Estacionamento incluído,Piscina,TV,Wi-Fi",,no_rating,sim,2022-12-05,True
2022-12-05,https://www.airbnb.com.br/rooms/753462768477570402,"Apartamento pé na areia, sacada para o mar!","Apart. com vista para mar, sacada ampla com churrasqueira e mesa, 130m praia.
São 3 quartos, sendo uma suíte, mais um banheiro social, duas camas de casal e uma bicama, mais 2 colchões avulsos, 2 ar condicionado e um quarto com ventilador. 
Sala de TV com canais abertos e fechados, Wifi, ventilador de teto. Sala de jantar.
Cozinha completa planejada, 2 geladeiras, micro-ondas, Airfrayer, sanduicheira.
Lavanderia com máquina de lavar.
Garagem 1 carro coberta.
Mercado e farmácia menos de 100mt.",753462768477570402,"Excelente apart. com vista para mar, sacada ampla com churrasqueira e mesa, 130m praia.
São 3 quartos, sendo uma suíte, mais um banheiro social, 2 camas de casal e 1 bicama, mais 2 colchões avulsos, 2 ar condicionado e um quarto com ventilador de teto.
Sala de TV com canais abertos e fechados, Wifi, ventilador de teto. 
Sala de jantar com mesa para seis pessoas.
Cozinha completa planejada, 2 geladeiras, micro-ondas, Airfrayer, sanduicheira.
Lavanderia com máquina de lavar.
Garagem 1 carro coberta.
Mercado, farmácia ficam a 100mt,  restaurantes, shopping, shopping, sorveteira tudo muito próximo também.  shoppinf e farmácia menos de 100m",Animais de estimação são permitidos,"Ar-condicionado,Churrasqueira,Chuveiro externo,Cozinha,Estacionamento incluído,Ferro de passar,Máquina de Lavar,Pátio ou varanda,Secador de cabelo,TV,Wi-Fi,Área de jantar externa",no_description,2,3,2,-27.123,-48.606,0.0,"Prédio familiar, as regras do condomínio precisam ser cumpridas, não podendo utilizar som alto depois das 22horas, sendo sujeito às penalidades do condomínio, multa.
Necessário documentacão rg e cpf para fazer o checkin,  previa liberacao no condominio.",Sara,13:00 - 20:00,11:00,8,0,0,no_cohost,150.0,False,479769003,Espaço inteiro: apartamento,1.0,0.0,no_description,111%,111,200,0,2022,12,5,Animais de estimação são permitidos,"Ar-condicionado,Churrasqueira,Chuveiro externo,Cozinha,Estacionamento incluído,Ferro de passar,Máquina de Lavar,Pátio ou varanda,Secador de cabelo,TV,Wi-Fi,Área de jantar externa",,no_rating,sim,2022-12-05,True
2022-12-05,https://www.airbnb.com.br/rooms/24171739,"APTO 03 DORMITÓRIOS, PÉ NA AREIA! (AL029)","Apto com 03 dormitórios (sendo 01 suíte) todos com ar condicionado, sala com TV, Wi-fi, sacada com churrasqueira e vista para o mar, cozinha, área de serviço com máquina de lavar automática, 01 vaga de garagem para veículos médios. 
Na quadra do mar com excelente localização, área central de Meia Praia, próximo dos shoppings, restaurantes, mercado, panificadora, Burguer King e McDonald's",24171739,no_description,"Não permite animais de estimação,Não são permitidas festas ou eventos,Proibido fumar","Ar-condicionado,Básico,Cabides,Chaleira de água quente,Churrasqueira,Cozinha,Elevador,Estacionamento gratuito na rua,Estacionamento incluído,Extintor de incêndio,Ferro de passar,Fogão,Forno,Itens básicos de cozinha,Lavanderia nas proximidades,Local para guardar as roupas,Louças e talheres,Mesa de jantar,Microondas,Máquina de Lavar,O anfitrião recebe você,Pátio ou varanda,Refrigerador,Roupa de cama,TV,Taças de vinho,Utensílios para churrasco,Varal para secar roupas,Vista para o mar,Wi-Fi,Água quente",Extintor de incêndio,2,3,2,-27.13,-48.599,4.5,- Silêncio após as 22 horas,José Flávio,14:00 - 18:00,09:00,8,0,10,no_cohost,320.0,False,157399374,Espaço inteiro: apartamento,1.0,4.7,no_description,111%,111,200,0,2022,12,5,"Não permite animais de estimação,Não são permitidas festas ou eventos,Proibido fumar","Ar-condicionado,Básico,Cabides,Chaleira de água quente,Churrasqueira,Cozinha,Elevador,Estacionamento gratuito na rua,Estacionamento incluído,Extintor de incêndio,Ferro de passar,Fogão,Forno,Itens básicos de cozinha,Lavanderia nas proximidades,Local para guardar as roupas,Louças e talheres,Mesa de jantar,Microondas,Máquina de Lavar,O anfitrião recebe você,Pátio ou varanda,Refrigerador,Roupa de cama,TV,Taças de vinho,Utensílios para churrasco,Varal para secar roupas,Vista para o mar,Wi-Fi,Água quente",Extintor de incêndio,very_high,sim,2022-12-05,True
2022-12-05,https://www.airbnb.com.br/rooms/37708447,"PÉ NA AREIA, Amplo apartamento de 3 dormitórios.","Apartamento amplo com 150m2 a poucos passos do mar, 3 dormitórios sendo 1 suíte, 2 vagas de garagem para carros menores, sacada com churrasqueira e cervejeira com vista para o mar, com piso vinílico, TV 50 Smart na sala e tv led em 2 quartos, todos os cômodos com ar condicionado inclusive a sala, cozinha completa, 2 geladeiras e 1 cervejeira, Wi-Fi de 100GB, Terraço com teto retrátil, disponibilizamos guarda sol e cadeiras de praia. Ótima localização perto de restaurantes e supermercados.",37708447,"O apartamento fica bem próximo à avenida principal onde vc encontra uma diversidade de restaurantes, lojas, supermercados, padarias e farmácias.","Animais de estimação são permitidos,Não são permitidas festas ou eventos,É permitido fumar","Ar-condicionado,Blackout nas cortinas,Básico,Cabides,Cafeteira,Cafeteira com coador,Chaleira de água quente,Churrasqueira,Cozinha,Elevador,Espaço de trabalho exclusivo,Estacionamento gratuito na rua,Estacionamento incluído,Estadias de longa duração são permitidas,Extintor de incêndio,Ferro de passar,Fogão,Forno,Freezer,Frigobar,Itens básicos de cozinha,Lavanderia nas proximidades,Livros e brinquedos infantis,Local para guardar as roupas,Louças e talheres,Mesa de jantar,Microondas,Máquina de Lavar,Pratos e talheres para crianças,Pátio ou varanda,Rede/grade de proteção nas janelas,Refrigerador,Roupa de cama,Secador de cabelo,Secadora,TV,TV a Cabo,Taças de vinho,Torradeira,Utensílios para churrasco,Varal para secar roupas,Vista para as águas,Vista para o mar,Wi-Fi,Água quente",Extintor de incêndio,2,3,2,-27.14076,-48.59156,5.0,no_description,Kleber,Depois das 13:00,09:00,10,1,56,no_cohost,300.0,False,178028206,Espaço inteiro: apartamento,1.0,5.0,no_description,111%,111,200,0,2022,12,5,"Animais de estimação são permitidos,Não são permitidas festas ou eventos,É permitido fumar","Ar-condicionado,Blackout nas cortinas,Básico,Cabides,Cafeteira,Cafeteira com coador,Chaleira de água quente,Churrasqueira,Cozinha,Elevador,Espaço de trabalho exclusivo,Estacionamento gratuito na rua,Estacionamento incluído,Estadias de longa duração são permitidas,Extintor de incêndio,Ferro de passar,Fogão,Forno,Freezer,Frigobar,Itens básicos de cozinha,Lavanderia nas proximidades,Livros e brinquedos infantis,Local para guardar as roupas,Louças e talheres,Mesa de jantar,Microondas,Máquina de Lavar,Pratos e talheres para crianças,Pátio ou varanda,Rede/grade de proteção nas janelas,Refrigerador,Roupa de cama,Secador de cabelo,Secadora,TV,TV a Cabo,Taças de vinho,Torradeira,Utensílios para churrasco,Varal para secar roupas,Vista para as águas,Vista para o mar,Wi-Fi,Água quente",Extintor de incêndio,very_high,sim,2022-12-05,True
